order_id,date_id,weather_id,traffic_id,area_id,category_id,vehicle_id,agent_id,order_time,pickup_time,order_hour,delivery_time_minutes,pickup_prep_minutes,delivery_distance_km,delivery_speed_kmh,is_delayed
dyei026194050,7,2,1,1,15,3,233,13:20:00,13:35:00,13,130,15,6.242,2.881,t
snqz281043193,7,2,1,1,15,3,163,13:10:00,13:15:00,13,120,5,6.041,3.021,t
jzpn133462074,7,5,3,1,15,3,423,22:45:00,23:00:00,22,95,15,4.632,2.925,t
mgio795091530,7,4,2,1,15,4,417,19:55:00,20:00:00,19,155,5,8.953,3.466,t
mdpo295579967,7,3,4,1,15,2,397,16:20:00,16:30:00,16,165,10,5.992,2.179,t
dgxs800270933,7,2,3,4,15,3,44,10:35:00,10:40:00,10,55,5,2.985,3.256,t
jvdk649608100,7,5,2,4,15,3,347,21:50:00,21:55:00,21,75,5,4.494,3.595,t
sjxo914232735,7,3,3,1,15,2,339,09:25:00,09:40:00,9,105,15,3.020,1.726,t
vaqi577313592,7,5,2,4,15,4,209,21:20:00,21:30:00,21,70,10,9.158,7.850,t
dqwe078465386,7,1,3,4,15,2,304,09:15:00,09:25:00,9,75,10,3.027,2.422,t
elxy897575179,7,3,1,4,15,3,43,13:45:00,14:00:00,13,110,15,6.243,3.405,t
ljvk729794167,7,4,3,4,15,2,235,23:55:00,00:05:00,23,50,10,7.326,8.791,t
wkde487102575,7,1,1,1,15,2,186,11:35:00,11:50:00,11,125,15,1.573,0.755,t
bmcy500287737,7,4,4,1,15,2,379,18:20:00,18:35:00,18,155,15,9.158,3.545,t
jnne192758185,7,2,3,1,15,2,328,08:30:00,08:35:00,8,120,5,3.020,1.510,t
gwod871853104,7,1,3,1,15,2,93,09:50:00,10:00:00,9,90,10,3.145,2.097,t
csux473833211,7,1,4,1,15,3,287,17:10:00,17:15:00,17,75,5,4.718,3.774,t
wgay590639576,7,6,3,1,15,3,44,10:10:00,10:25:00,10,55,15,3.145,3.431,t
jkvj980675457,7,5,2,1,15,3,424,19:35:00,19:45:00,19,95,10,,,t
aksi275084879,7,5,3,1,15,2,308,23:15:00,23:25:00,23,85,10,4.464,3.151,t
jzkw718791079,7,1,1,1,15,2,326,11:50:00,12:00:00,11,155,10,,,t
vdrl415151704,7,5,4,1,15,2,212,17:10:00,17:15:00,17,110,5,4.718,2.573,t
vply720793631,7,3,2,1,15,3,423,21:25:00,21:40:00,21,135,15,4.406,1.958,t
fqbl389224684,7,5,3,1,15,2,367,09:10:00,09:15:00,9,55,5,2.937,3.204,t
nfwf799424251,7,6,3,1,15,2,363,10:15:00,10:20:00,10,115,5,1.561,0.814,t
eirt977187864,7,2,2,1,15,2,328,19:55:00,20:05:00,19,145,10,8.812,3.646,t
kkyg303633960,7,1,4,4,15,3,308,17:15:00,17:20:00,17,90,5,7.863,5.242,t
ekxn896576761,7,3,2,1,15,2,403,21:55:00,22:10:00,21,225,15,4.494,1.198,t
aaue857229941,7,1,4,4,15,3,308,16:20:00,16:35:00,16,75,15,6.242,4.994,t
wsvk087333550,7,2,3,1,15,4,165,09:15:00,09:20:00,9,65,5,2.937,2.711,t
mhqe666122222,7,5,1,1,15,3,308,13:30:00,13:40:00,13,75,10,6.041,4.833,t
sxwd399951268,7,1,3,2,15,2,404,09:35:00,09:45:00,9,75,10,1.545,1.236,t
qmvi842529654,7,2,1,1,15,2,343,11:50:00,11:55:00,11,165,5,1.514,0.551,t
xvue573462803,7,1,4,4,15,3,326,15:40:00,15:45:00,15,80,5,5.969,4.477,t
qslk851145595,7,6,3,1,15,3,19,10:00:00,10:15:00,10,70,15,3.145,2.696,t
mico032679771,7,4,1,1,15,2,270,11:15:00,11:30:00,11,140,15,3.145,1.348,t
smmk414587538,7,1,3,1,15,2,46,22:10:00,22:15:00,22,95,5,4.477,2.828,t
inha184392718,7,3,4,1,15,2,327,17:15:00,17:30:00,17,140,15,4.541,1.946,t
hstb446909491,7,6,1,1,15,3,384,12:00:00,12:15:00,12,125,15,1.514,0.727,t
ztsc550318915,7,2,3,1,15,2,288,10:00:00,10:15:00,10,130,15,2.937,1.356,t
hrry048439751,7,5,3,1,15,2,234,23:45:00,23:55:00,23,75,10,7.863,6.290,t
kwmm567270372,7,2,1,1,15,3,162,11:30:00,11:35:00,11,120,5,1.498,0.749,t
wdkv728005234,7,3,4,1,15,3,380,18:40:00,18:55:00,18,160,15,7.461,2.798,t
ioqv404499004,7,2,2,4,15,2,386,20:30:00,20:40:00,20,130,10,4.395,2.028,t
ljav656708402,7,3,2,4,15,2,406,19:20:00,19:25:00,19,135,5,4.405,1.958,t
ytij127954785,7,3,4,1,15,2,142,17:00:00,17:10:00,17,140,10,5.992,2.568,t
kuvm720270058,7,4,3,1,15,2,160,10:15:00,10:30:00,10,125,15,2.938,1.410,t
qxrx507633055,7,6,4,1,15,2,71,16:25:00,16:35:00,16,125,10,,,t
iokc050841061,7,1,4,4,15,3,166,18:10:00,18:20:00,18,85,10,7.631,5.387,t
djnd162861594,7,1,1,4,15,2,339,13:35:00,13:50:00,13,170,15,6.054,2.137,t
xrqu572664891,7,3,3,4,15,3,20,10:15:00,10:20:00,10,90,5,1.526,1.017,t
qbou097541113,7,6,2,1,15,2,66,19:45:00,19:50:00,19,130,5,9.364,4.322,t
rswq259433093,7,3,4,1,15,3,252,17:55:00,18:00:00,17,165,5,9.435,3.431,t
kfbu411769314,7,4,4,1,15,3,233,16:25:00,16:40:00,16,145,15,6.054,2.505,t
itrw068237618,7,2,3,1,15,2,423,08:10:00,08:15:00,8,75,5,1.510,1.208,t
lpkh473392828,7,3,4,1,15,3,71,18:50:00,18:55:00,18,135,5,,,t
nkyg827138816,7,4,2,1,15,3,22,20:50:00,21:05:00,20,140,15,9.158,3.925,t
rxay677107418,7,3,2,1,15,2,213,21:20:00,21:30:00,21,90,10,7.461,4.974,t
osjv233336521,7,5,1,1,15,2,420,11:20:00,11:25:00,11,105,5,1.544,0.882,t
ewwo088934804,7,3,3,1,15,2,244,22:25:00,22:40:00,22,170,15,,,t
zqro449286965,7,2,1,1,14,2,424,11:10:00,11:15:00,11,125,5,3.053,1.465,t
cpbk549517303,7,1,4,1,14,2,163,15:40:00,15:55:00,15,110,15,5.874,3.204,t
bbvn701973250,7,2,1,1,14,2,367,13:00:00,13:10:00,13,135,10,6.290,2.796,t
ykzg342785229,7,2,1,1,14,2,345,11:10:00,11:25:00,11,145,15,1.544,0.639,t
otlg359482650,7,3,2,1,14,2,303,20:40:00,20:55:00,20,165,15,8.953,3.256,t
mysu809168379,7,3,2,1,14,3,415,21:40:00,21:55:00,21,160,15,7.803,2.926,t
bdjq292834260,7,1,3,4,14,2,387,10:25:00,10:30:00,10,120,5,2.977,1.489,t
pzbq153170240,7,4,1,1,14,2,289,14:30:00,14:35:00,14,165,5,6.055,2.202,t
unkm177794816,7,2,4,4,14,2,388,15:20:00,15:35:00,15,85,15,6.039,4.263,t
tmwy276144495,7,3,2,1,14,2,272,20:35:00,20:50:00,20,150,15,8.988,3.595,t
this990144566,7,3,3,1,14,2,251,10:35:00,10:40:00,10,130,5,1.561,0.720,t
eqrf802120191,7,6,4,4,14,2,270,17:20:00,17:25:00,17,150,5,4.718,1.887,t
hkld977435430,7,2,1,1,14,2,213,11:10:00,11:25:00,11,130,15,1.488,0.687,t
gjhl435206450,7,1,3,1,14,3,211,09:15:00,09:30:00,9,50,15,2.930,3.516,t
kylw026216930,7,6,4,1,14,2,404,18:55:00,19:10:00,18,155,15,7.632,2.954,t
xmoo689215676,7,3,4,1,14,2,301,15:35:00,15:40:00,15,155,5,6.054,2.343,t
jhod083990501,7,3,1,1,14,3,21,13:25:00,13:30:00,13,100,5,5.953,3.572,t
kazj987590087,7,5,4,1,14,2,232,16:35:00,16:40:00,16,105,5,5.875,3.357,t
cpkv477462489,7,5,3,1,14,2,364,09:20:00,09:35:00,9,125,15,1.465,0.703,t
mutq163015201,7,3,2,1,14,2,138,20:55:00,21:10:00,20,165,15,7.863,2.859,t
oywg522954944,7,1,4,1,14,2,208,17:20:00,17:30:00,17,110,10,4.494,2.451,t
muaz906486582,7,2,4,1,14,3,211,18:35:00,18:45:00,18,90,10,7.461,4.974,t
xlzr590412635,7,4,3,1,14,3,324,22:50:00,23:00:00,22,145,10,4.579,1.895,t
rgov284593337,7,4,4,1,14,2,44,16:00:00,16:10:00,16,135,10,5.860,2.604,t
ympu642977766,7,1,4,4,14,2,188,15:50:00,16:00:00,15,75,10,6.290,5.032,t
lbpm958660582,7,4,4,1,14,2,234,16:20:00,16:35:00,16,120,15,5.953,2.977,t
ankb429546930,7,4,3,1,14,2,235,09:20:00,09:25:00,9,85,5,3.145,2.220,t
lhpc749545643,7,2,1,1,14,2,161,13:00:00,13:05:00,13,130,5,6.243,2.881,t
raxm732871152,7,1,3,1,14,3,115,10:20:00,10:30:00,10,65,10,1.561,1.441,t
wykl158965593,7,1,3,4,14,2,385,10:30:00,10:45:00,10,75,15,1.573,1.258,t
sjvp519847869,7,5,3,4,14,2,20,09:30:00,09:45:00,9,55,15,2.996,3.268,t
omcn206480571,7,2,3,4,14,3,288,23:55:00,00:00:00,23,85,5,7.863,5.550,t
mtgd103478645,7,4,3,1,14,3,307,08:20:00,08:25:00,8,100,5,2.977,1.786,t
robn719258920,7,5,3,1,14,4,347,10:30:00,10:35:00,10,50,5,1.498,1.798,t
fksi706201021,7,3,4,4,14,3,20,17:10:00,17:25:00,17,120,15,4.632,2.316,t
awds903438927,7,4,3,4,14,2,205,00:00:00,00:15:00,0,110,15,9.158,4.995,t
flua153919229,7,6,3,1,14,2,403,09:30:00,09:35:00,9,110,5,1.488,0.812,t
jlzo424668555,7,6,1,1,14,3,288,14:10:00,14:20:00,14,130,10,6.242,2.881,t
rfvk802643793,7,2,2,1,14,3,423,21:35:00,21:50:00,21,180,15,,,t
kmvd196626910,7,3,4,2,14,2,188,18:35:00,18:40:00,18,65,5,4.718,4.355,t
clet643943988,7,1,2,1,14,2,44,21:35:00,21:40:00,21,140,5,9.364,4.013,t
rzsq240674361,7,6,1,4,14,3,23,11:40:00,11:45:00,11,90,5,3.145,2.097,t
ydbd435382386,7,2,2,2,14,2,286,21:10:00,21:15:00,21,185,5,7.567,2.454,t
homj856945288,7,3,1,4,14,4,308,11:10:00,11:15:00,11,165,5,1.514,0.551,t
qguo361877285,7,3,1,1,14,2,264,11:40:00,11:45:00,11,165,5,1.465,0.533,t
ozpt463231262,7,5,2,4,14,4,231,20:25:00,20:40:00,20,90,15,7.863,5.242,t
gkzh308512101,7,2,1,4,14,3,233,14:00:00,14:15:00,14,125,15,6.290,3.019,t
bdec670611226,7,5,3,1,14,2,349,10:00:00,10:15:00,10,135,15,1.544,0.686,t
byzk137123684,7,6,1,1,14,2,116,12:40:00,12:45:00,12,135,5,6.055,2.691,t
lcyf604685524,7,4,1,1,14,3,309,11:40:00,11:45:00,11,160,5,1.465,0.549,t
ymnw940472198,7,1,1,4,14,2,211,13:50:00,14:05:00,13,110,15,5.969,3.256,t
fozu599693256,7,1,2,1,14,2,307,21:40:00,21:50:00,21,135,10,4.540,2.018,t
aahj033176282,7,6,3,1,14,3,386,09:20:00,09:25:00,9,145,5,2.996,1.240,t
znft655834782,7,6,3,1,14,3,142,23:20:00,23:25:00,23,85,5,7.343,5.183,t
sccp018255873,7,6,3,1,13,3,421,23:00:00,23:10:00,23,120,10,4.395,2.198,t
htug427811289,7,2,3,1,13,2,309,10:00:00,10:15:00,10,105,15,1.510,0.863,t
wzor461345857,7,5,3,1,13,3,253,09:40:00,09:50:00,9,60,10,3.020,3.020,t
jxha519047663,7,6,1,1,13,3,138,15:00:00,15:15:00,15,95,15,5.860,3.701,t
kfkr404378398,7,5,2,1,13,2,21,20:20:00,20:35:00,20,90,15,7.803,5.202,t
wscg143203944,7,4,3,4,13,3,385,23:00:00,23:10:00,23,105,10,7.461,4.263,t
wpkj778556423,7,6,2,4,13,2,186,19:50:00,20:00:00,19,65,10,7.863,7.258,t
sglu806905966,7,1,1,1,13,3,417,14:50:00,15:05:00,14,175,15,6.290,2.157,t
jptr583515630,7,4,2,1,13,3,164,20:45:00,20:55:00,20,60,10,7.325,7.325,t
vylq473497022,7,2,3,4,13,4,368,22:10:00,22:15:00,22,85,5,9.435,6.660,t
zwxq114746129,7,2,1,4,13,3,233,11:15:00,11:30:00,11,115,15,3.027,1.579,t
itpk407886508,7,4,3,2,13,2,246,10:40:00,10:45:00,10,135,5,2.938,1.306,t
maqg628843854,7,2,4,4,13,3,327,15:20:00,15:35:00,15,95,15,5.969,3.770,t
oahh430621494,7,6,3,1,13,3,424,10:55:00,11:05:00,10,140,10,1.573,0.674,t
ahfu489247466,7,1,2,1,13,3,93,19:40:00,19:45:00,19,125,5,7.549,3.624,t
cmsw716477714,7,2,2,1,13,2,119,21:50:00,21:55:00,21,105,5,8.988,5.136,t
tjpk595104760,7,3,3,1,13,2,328,23:50:00,00:00:00,23,115,10,4.396,2.294,t
tfol045526947,7,4,1,1,13,2,235,11:55:00,12:00:00,11,105,5,3.053,1.745,t
dyjl859880832,7,4,2,1,13,2,18,20:15:00,20:20:00,20,180,5,7.490,2.497,t
vcrd604924265,7,6,4,1,13,2,209,17:50:00,17:55:00,17,115,5,7.461,3.893,t
upcz898067407,7,6,3,4,13,2,344,09:15:00,09:20:00,9,100,5,3.053,1.832,t
xrqf799662124,7,4,3,1,13,3,307,10:20:00,10:35:00,10,115,15,1.514,0.790,t
pmmr164329189,7,6,3,1,13,2,283,09:55:00,10:10:00,9,135,15,3.053,1.357,t
vvcd789271087,7,1,3,1,13,4,119,10:35:00,10:40:00,10,75,5,1.526,1.221,t
fazd366562676,7,4,3,1,13,2,321,22:30:00,22:45:00,22,165,15,7.441,2.706,t
kahk559358518,7,1,3,1,13,3,209,22:20:00,22:30:00,22,50,10,7.803,9.364,t
yzfv193481344,7,4,4,1,13,2,308,18:10:00,18:20:00,18,135,10,4.682,2.081,t
mkji065765893,7,4,4,1,13,4,95,18:00:00,18:05:00,18,105,5,8.928,5.102,t
jvks372250271,7,3,4,4,13,2,363,17:55:00,18:10:00,17,140,15,4.718,2.022,t
uydh541993525,7,5,4,1,13,2,94,18:30:00,18:45:00,18,110,15,7.326,3.996,t
idng978889884,7,4,3,1,13,4,66,22:35:00,22:45:00,22,90,10,9.435,6.290,t
vyxh260074603,7,3,1,1,13,4,287,11:40:00,11:45:00,11,130,5,1.465,0.676,t
crsg012831300,7,4,3,1,13,2,282,09:35:00,09:45:00,9,115,10,1.469,0.766,t
ruuv129825864,7,3,4,1,13,2,93,17:15:00,17:20:00,17,140,5,9.263,3.970,t
vjtt963097936,7,1,3,1,13,3,305,22:20:00,22:30:00,22,75,10,8.929,7.143,t
grpv150876957,7,1,3,1,13,2,233,10:55:00,11:00:00,10,115,5,2.938,1.533,t
khur110589897,7,1,2,1,13,2,116,19:25:00,19:30:00,19,135,5,7.863,3.495,t
gjet429774363,7,2,3,1,13,3,364,23:25:00,23:40:00,23,95,15,9.081,5.735,t
hgun955772781,7,2,1,1,13,2,23,11:50:00,12:00:00,11,105,10,1.561,0.892,t
pzty160317695,7,6,3,1,13,2,135,23:45:00,00:00:00,23,110,15,9.081,4.953,t
fmym833509426,7,6,3,1,13,2,367,10:45:00,10:55:00,10,130,10,3.145,1.452,t
avxx550623263,7,1,2,1,13,3,398,19:20:00,19:35:00,19,170,15,9.060,3.198,t
yuym016606587,7,4,4,2,13,3,361,15:10:00,15:20:00,15,160,10,6.105,2.289,t
tdse473458357,7,5,3,1,13,2,209,10:15:00,10:30:00,10,85,15,2.930,2.068,t
rywx298189637,7,5,3,4,13,4,406,09:40:00,09:45:00,9,55,5,1.492,1.628,t
guju029702864,7,2,2,4,13,2,187,20:40:00,20:55:00,20,115,15,4.477,2.336,t
jmdc696060888,7,3,4,1,13,3,421,15:15:00,15:30:00,15,150,15,6.175,2.470,t
kjgf359672430,7,5,4,4,10,2,43,15:30:00,15:40:00,15,95,10,6.105,3.856,t
ctan677524336,7,2,4,4,10,4,305,17:20:00,17:25:00,17,75,5,4.406,3.525,t
aqim282018080,7,6,4,1,10,4,187,18:15:00,18:20:00,18,145,5,9.061,3.749,t
gukk062915385,7,3,2,1,10,3,118,21:25:00,21:30:00,21,60,5,4.465,4.465,t
mgjh775757469,7,3,4,2,10,2,421,17:25:00,17:40:00,17,140,15,7.720,3.309,t
yjrn339703740,7,5,3,1,10,3,142,08:45:00,08:55:00,8,80,10,1.469,1.102,t
smbm423236836,7,3,3,1,10,2,113,08:40:00,08:50:00,8,75,10,1.561,1.249,t
qmkr792155372,7,6,3,1,10,4,137,10:00:00,10:15:00,10,60,15,1.544,1.544,t
piqd658725028,7,5,2,1,10,2,116,20:25:00,20:40:00,20,80,15,8.790,6.593,t
gcxo578418810,7,1,4,4,10,2,186,18:35:00,18:50:00,18,65,15,4.718,4.355,t
hjsu301973901,7,4,3,1,10,3,403,10:00:00,10:15:00,10,135,15,1.498,0.666,t
vkmv879345199,7,1,3,4,10,2,213,10:50:00,10:55:00,10,80,5,2.985,2.239,t
iaet567925783,7,4,3,1,10,2,134,08:55:00,09:10:00,8,130,15,1.561,0.720,t
vkak803254039,7,6,4,1,10,2,21,17:30:00,17:40:00,17,75,10,7.567,6.054,t
gdrp403122333,7,3,4,1,10,2,184,16:20:00,16:25:00,16,50,5,5.969,7.163,t
sdbp509288274,7,2,1,4,10,3,91,14:45:00,14:50:00,14,110,5,6.181,3.371,t
